time_s,energy_J,cum_MJ/m2,cum_klux_hr,dE76,dE00,dR,dR_VIS,L*,a*,b*,C*,h
0.0,0.0+/-0,0.0,0.0,0.0,0.0,0.0,0.0,59.25,-35.14,-33.66,48.66,223.77
21.528,0.44322+/-0.00028,0.1571544,9.60013652,0.56,0.27,0.27,0.17,59.2,-34.77,-34.08,48.69,224.43
41.406,0.8525+/-0.0005,0.3022638,18.4644766233,0.67,0.32,0.28,0.21,59.22,-34.71,-34.17,48.71,224.55
61.692,1.2701+/-0.0008,0.4503516,27.5107591133,0.74,0.36,0.27,0.23,59.23,-34.66,-34.23,48.72,224.64
81.597,1.6799+/-0.0011,0.5956581,36.3871395217,0.8,0.38,0.43,0.27,59.24,-34.63,-34.28,48.73,224.71
101.484,2.0894+/-0.0013,0.7408332,45.25549306,0.84,0.4,0.31,0.26,59.24,-34.6,-34.31,48.73,224.76
121.753,2.5067+/-0.0016,0.8887969,54.2941946172,0.87,0.42,0.28,0.27,59.25,-34.59,-34.34,48.74,224.79
141.635,2.9160+/-0.0018,1.0339355,63.1603184694,0.91,0.43,0.29,0.28,59.26,-34.57,-34.37,48.74,224.83
161.513,3.3252+/-0.0021,1.1790449,72.0246585728,0.93,0.44,0.27,0.29,59.27,-34.55,-34.39,48.75,224.86
181.811,3.7431+/-0.0024,1.3272203,81.0762923094,0.95,0.45,0.38,0.31,59.28,-34.54,-34.4,48.75,224.88
201.704,4.1527+/-0.0026,1.4724392,89.9473214711,0.98,0.47,0.31,0.31,59.28,-34.52,-34.43,48.75,224.92
221.602,4.5623+/-0.0029,1.6176946,98.8205803189,0.99,0.47,0.28,0.32,59.29,-34.52,-34.43,48.75,224.93
241.496,4.9719+/-0.0031,1.7629208,107.692055418,1.02,0.49,0.39,0.34,59.3,-34.5,-34.46,48.76,224.97
261.821,5.3904+/-0.0034,1.9112933,116.755729459,1.04,0.5,0.37,0.36,59.3,-34.48,-34.47,48.76,224.99
281.713,5.800+/-0.004,2.0565049,125.626312684,1.04,0.5,0.34,0.34,59.31,-34.48,-34.47,48.76,224.99
301.614,6.210+/-0.004,2.2017822,134.500909343,1.07,0.51,0.59,0.39,59.32,-34.46,-34.49,48.76,225.03
321.488,6.619+/-0.004,2.3468624,143.363465698,1.07,0.51,0.31,0.36,59.32,-34.46,-34.5,48.76,225.03
341.804,7.037+/-0.004,2.4951692,152.423126304,1.1,0.53,0.54,0.4,59.34,-34.44,-34.51,48.76,225.06
361.686,7.446+/-0.005,2.6403078,161.289250157,1.1,0.53,0.35,0.38,59.34,-34.45,-34.51,48.76,225.05
381.576,7.856+/-0.005,2.7855048,170.158941507,1.12,0.54,0.62,0.42,59.35,-34.43,-34.52,48.76,225.08
401.466,8.265+/-0.005,2.9307018,179.028632857,1.14,0.55,0.64,0.43,59.36,-34.42,-34.54,48.76,225.1
421.745,8.683+/-0.005,3.0787385,188.071793786,1.15,0.56,0.69,0.44,59.36,-34.41,-34.55,48.76,225.12
441.63,9.092+/-0.006,3.223899,196.93925545,1.16,0.56,0.76,0.45,59.37,-34.4,-34.55,48.76,225.12
461.542,9.502+/-0.006,3.3692566,205.818757419,1.16,0.56,0.79,0.45,59.37,-34.4,-34.55,48.75,225.13
481.43,9.912+/-0.006,3.514439,214.687556894,1.17,0.57,0.73,0.46,59.38,-34.39,-34.56,48.75,225.14
501.702,10.329+/-0.007,3.6624246,223.727596263,1.19,0.57,0.73,0.46,59.39,-34.38,-34.57,48.75,225.15
521.572,10.738+/-0.007,3.8074756,232.588368869,1.19,0.57,0.79,0.47,59.39,-34.38,-34.56,48.75,225.15
541.443,11.147+/-0.007,3.9525339,241.449587412,1.18,0.57,0.5,0.46,59.39,-34.38,-34.56,48.75,225.15
561.709,11.564+/-0.007,4.1004757,250.486951157,1.2,0.58,0.65,0.48,59.4,-34.37,-34.57,48.75,225.17
581.581,11.974+/-0.008,4.2455413,259.348615637,1.22,0.59,0.91,0.5,59.41,-34.36,-34.58,48.75,225.19
601.491,12.383+/-0.008,4.3908843,268.227225732,1.21,0.59,0.58,0.49,59.41,-34.37,-34.58,48.75,225.17
621.749,12.801+/-0.008,4.5387677,277.261021979,1.22,0.59,0.63,0.49,59.42,-34.36,-34.58,48.75,225.18
641.614,13.210+/-0.008,4.6837822,286.119564899,1.22,0.6,0.61,0.5,59.42,-34.36,-34.59,48.75,225.19
661.479,13.619+/-0.009,4.8287967,294.978107818,1.25,0.61,0.96,0.54,59.43,-34.34,-34.6,48.75,225.22
681.746,14.036+/-0.009,4.9767458,304.015917501,1.22,0.6,0.65,0.51,59.43,-34.36,-34.59,48.75,225.19
701.601,14.445+/-0.009,5.1216873,312.870001048,1.23,0.6,0.66,0.51,59.44,-34.35,-34.59,48.75,225.2
721.469,14.854+/-0.009,5.2667237,321.729881779,1.26,0.62,1.02,0.55,59.45,-34.33,-34.61,48.75,225.23
741.731,15.271+/-0.010,5.4146363,330.765461776,1.25,0.61,0.66,0.52,59.44,-34.34,-34.6,48.75,225.22
761.586,15.680+/-0.010,5.5595778,339.619545323,1.25,0.61,0.73,0.53,59.45,-34.33,-34.6,48.75,225.22
781.454,16.089+/-0.010,5.7046142,348.479426054,1.26,0.62,0.76,0.54,59.45,-34.33,-34.6,48.74,225.23
801.722,16.506+/-0.010,5.8525706,357.517681674,1.28,0.63,1.13,0.58,59.46,-34.31,-34.62,48.74,225.25
821.588,16.915+/-0.011,5.9975924,366.376670531,1.28,0.63,1.08,0.58,59.47,-34.31,-34.62,48.74,225.26
841.44,17.324+/-0.011,6.142512,375.229416267,1.29,0.64,1.16,0.59,59.47,-34.31,-34.62,48.74,225.26
861.709,17.741+/-0.011,6.2904757,384.268117824,1.27,0.63,0.79,0.56,59.47,-34.32,-34.61,48.74,225.24
881.577,18.150+/-0.011,6.4355121,393.127998555,1.28,0.63,0.82,0.57,59.48,-34.32,-34.62,48.74,225.25
901.443,18.559+/-0.012,6.5805339,401.986987412,1.3,0.64,1.16,0.61,59.49,-34.3,-34.63,48.74,225.27
921.72,18.976+/-0.012,6.728556,411.029256467,1.3,0.64,0.99,0.6,59.49,-34.3,-34.63,48.74,225.27
941.59,19.385+/-0.012,6.873607,419.890029072,1.3,0.65,1.16,0.62,59.49,-34.3,-34.63,48.74,225.28
961.473,19.795+/-0.012,7.0187529,428.756598862,1.32,0.65,1.2,0.62,59.49,-34.29,-34.64,48.74,225.29
981.731,20.212+/-0.013,7.1666363,437.790395109,1.3,0.64,0.87,0.59,59.49,-34.3,-34.62,48.74,225.27
1001.604,20.621+/-0.013,7.3117092,446.652505527,1.29,0.64,0.82,0.6,59.5,-34.3,-34.62,48.73,225.26
1021.469,21.030+/-0.013,7.4567237,455.511048446,1.3,0.65,0.86,0.6,59.5,-34.3,-34.62,48.73,225.27
1041.728,21.447+/-0.014,7.6046144,464.545290631,1.31,0.65,1.21,0.63,59.5,-34.28,-34.63,48.73,225.29
1061.589,21.856+/-0.014,7.7495997,473.402049802,1.31,0.65,1.13,0.63,59.51,-34.28,-34.63,48.73,225.28
1081.45,22.265+/-0.014,7.894585,482.258808972,1.32,0.66,1.23,0.65,59.51,-34.28,-34.63,48.73,225.29
1101.713,22.682+/-0.014,8.0425049,491.294834906,1.31,0.65,0.96,0.63,59.51,-34.29,-34.62,48.73,225.28
1121.576,23.091+/-0.015,8.1875048,500.152485951,1.33,0.66,1.23,0.65,59.52,-34.28,-34.63,48.73,225.3
1141.439,23.500+/-0.015,8.3325047,509.010136996,1.3,0.65,0.9,0.62,59.52,-34.29,-34.62,48.73,225.27
1161.693,23.917+/-0.015,8.4803589,518.042149495,1.31,0.65,0.9,0.63,59.52,-34.29,-34.62,48.72,225.28
1181.557,24.326+/-0.015,8.6253661,526.900246477,1.31,0.66,0.97,0.64,59.52,-34.28,-34.62,48.72,225.28
1201.429,24.735+/-0.016,8.7704317,535.761910957,1.33,0.67,1.32,0.67,59.53,-34.27,-34.63,48.72,225.3
1221.709,25.153+/-0.016,8.9184757,544.805517824,1.33,0.67,1.33,0.67,59.53,-34.27,-34.63,48.72,225.3
1241.573,25.562+/-0.016,9.0634829,553.663614806,1.33,0.67,1.31,0.67,59.53,-34.27,-34.63,48.72,225.3
1261.423,25.970+/-0.016,9.2083879,562.515468667,1.33,0.67,1.38,0.67,59.53,-34.27,-34.63,48.72,225.3
1281.694,26.388+/-0.017,9.3563662,571.555062099,1.34,0.68,1.37,0.68,59.54,-34.26,-34.63,48.72,225.31
1301.554,26.796+/-0.017,9.5013442,580.411375332,1.33,0.67,0.98,0.66,59.54,-34.27,-34.62,48.72,225.29
1321.405,27.205+/-0.017,9.6462565,589.263675131,1.34,0.67,1.19,0.67,59.54,-34.26,-34.63,48.72,225.3
1341.662,27.622+/-0.017,9.7941326,598.297025441,1.34,0.67,1.03,0.66,59.55,-34.26,-34.63,48.72,225.31
1361.521,28.031+/-0.018,9.9391033,607.152892737,1.34,0.68,1.14,0.67,59.55,-34.26,-34.63,48.72,225.31
1381.388,28.440+/-0.018,10.0841324,616.012327531,1.33,0.67,1.06,0.67,59.55,-34.27,-34.63,48.72,225.3
1401.654,28.857+/-0.018,10.2320742,625.049691277,1.35,0.68,1.24,0.69,59.56,-34.26,-34.64,48.71,225.32
1421.508,29.266+/-0.018,10.3770084,633.903328887,1.34,0.68,1.14,0.68,59.56,-34.26,-34.63,48.72,225.31
1441.773,29.683+/-0.019,10.5249429,642.940246695,1.35,0.68,1.06,0.69,59.56,-34.26,-34.63,48.72,225.31
1461.634,30.092+/-0.019,10.6699282,651.797005866,1.35,0.68,1.1,0.69,59.56,-34.26,-34.64,48.71,225.32
1481.505,30.501+/-0.019,10.8149865,660.658224408,1.36,0.69,1.35,0.71,59.57,-34.25,-34.64,48.71,225.33
1501.772,30.918+/-0.020,10.9629356,669.696034091,1.35,0.69,1.13,0.7,59.57,-34.25,-34.64,48.71,225.32
1521.636,31.327+/-0.020,11.1079428,678.554131073,1.35,0.69,1.13,0.7,59.57,-34.25,-34.64,48.71,225.32
1541.502,31.736+/-0.020,11.2529646,687.41311993,1.36,0.69,1.14,0.7,59.57,-34.25,-34.64,48.71,225.32
1561.771,32.154+/-0.020,11.4009283,696.451821487,1.37,0.7,1.41,0.73,59.58,-34.24,-34.64,48.71,225.33
1581.635,32.563+/-0.021,11.5459355,705.309918469,1.36,0.69,1.16,0.71,59.58,-34.25,-34.64,48.71,225.32
1601.492,32.972+/-0.021,11.6908916,714.164893891,1.38,0.7,1.53,0.74,59.59,-34.24,-34.65,48.71,225.34
1621.76,33.389+/-0.021,11.838848,723.203149511,1.37,0.7,1.24,0.73,59.58,-34.24,-34.64,48.71,225.33
1641.624,33.798+/-0.021,11.9838552,732.061246493,1.36,0.69,1.15,0.71,59.58,-34.25,-34.63,48.71,225.32
1661.488,34.207+/-0.022,12.1288624,740.919343476,1.38,0.71,1.5,0.75,59.59,-34.23,-34.65,48.71,225.34
1681.759,34.624+/-0.022,12.2768407,749.958936907,1.38,0.7,1.48,0.75,59.59,-34.23,-34.64,48.7,225.34
1701.617,35.033+/-0.022,12.4218041,758.814358266,1.38,0.71,1.56,0.75,59.59,-34.23,-34.64,48.7,225.34
1721.476,35.442+/-0.022,12.5667748,767.670225562,1.37,0.7,1.46,0.75,59.59,-34.24,-34.64,48.7,225.34
1741.734,35.859+/-0.023,12.7146582,776.70402181,1.35,0.69,1.22,0.73,59.59,-34.25,-34.62,48.7,225.31
1761.602,36.268+/-0.023,12.8596946,785.563902541,1.37,0.7,1.54,0.76,59.6,-34.24,-34.63,48.7,225.33
1781.482,36.677+/-0.023,13.0048186,794.429134519,1.35,0.69,1.24,0.73,59.59,-34.25,-34.62,48.7,225.31
1801.753,37.094+/-0.023,13.1527969,803.468727951,1.35,0.7,1.28,0.74,59.6,-34.25,-34.62,48.7,225.31
1821.619,37.503+/-0.024,13.2978187,812.327716807,1.37,0.7,1.54,0.77,59.6,-34.23,-34.63,48.69,225.33
1841.475,37.912+/-0.024,13.4427675,821.182246292,1.36,0.7,1.23,0.74,59.6,-34.24,-34.62,48.69,225.31
1861.746,38.330+/-0.024,13.5907458,830.221839723,1.35,0.7,1.36,0.75,59.6,-34.24,-34.62,48.69,225.31
1881.599,38.738+/-0.024,13.7356727,839.075031396,1.35,0.69,1.3,0.74,59.6,-34.24,-34.61,48.69,225.31
1901.464,39.147+/-0.025,13.8806872,847.933574316,1.37,0.71,1.64,0.77,59.61,-34.23,-34.62,48.69,225.33
1921.724,39.564+/-0.025,14.0285852,856.968262438,1.37,0.7,1.55,0.77,59.61,-34.23,-34.62,48.69,225.32
1941.578,39.973+/-0.025,14.1735194,865.821900048,1.38,0.71,1.65,0.78,59.61,-34.23,-34.63,48.69,225.33
1961.461,40.383+/-0.025,14.3186653,874.688469837,1.37,0.71,1.62,0.78,59.61,-34.23,-34.62,48.69,225.33
1981.724,40.800+/-0.026,14.4665852,883.724495771,1.34,0.7,1.25,0.74,59.61,-34.25,-34.6,48.69,225.3
2001.586,41.209+/-0.026,14.6115778,892.581700879,1.37,0.71,1.71,0.79,59.62,-34.23,-34.62,48.68,225.33
2021.458,41.618+/-0.026,14.7566434,901.443365359,1.37,0.71,1.64,0.79,59.62,-34.23,-34.62,48.68,225.32
2041.721,42.035+/-0.027,14.9045633,910.479391293,1.37,0.71,1.54,0.78,59.62,-34.23,-34.62,48.68,225.32
2061.58,42.444+/-0.027,15.049534,919.335258589,1.37,0.71,1.65,0.79,59.63,-34.23,-34.62,48.68,225.33
2081.432,42.853+/-0.027,15.1944536,928.188004324,1.37,0.71,1.65,0.8,59.63,-34.23,-34.62,48.68,225.32
2101.697,43.270+/-0.027,15.3423881,937.224922133,1.38,0.72,1.75,0.79,59.63,-34.22,-34.62,48.68,225.33
2121.568,43.679+/-0.028,15.4874464,946.086140676,1.37,0.71,1.59,0.79,59.63,-34.23,-34.61,48.68,225.32
2141.427,44.088+/-0.028,15.6324171,954.942007972,1.35,0.7,1.32,0.76,59.63,-34.24,-34.6,48.68,225.3
2161.69,44.505+/-0.028,15.780337,963.978033906,1.37,0.71,1.65,0.79,59.63,-34.23,-34.61,48.68,225.32
2181.551,44.914+/-0.028,15.9253223,972.834793076,1.36,0.71,1.37,0.78,59.63,-34.23,-34.6,48.68,225.31
2201.417,45.323+/-0.029,16.0703441,981.693781933,1.37,0.71,1.7,0.8,59.64,-34.23,-34.61,48.67,225.32
2221.681,45.740+/-0.029,16.2182713,990.730253804,1.37,0.71,1.74,0.81,59.64,-34.23,-34.6,48.67,225.31
2241.541,46.149+/-0.029,16.3632493,999.586567037,1.37,0.71,1.69,0.81,59.64,-34.23,-34.6,48.67,225.31
2261.403,46.558+/-0.029,16.5082419,1008.44377214,1.35,0.71,1.33,0.77,59.64,-34.24,-34.59,48.67,225.3
2281.675,46.975+/-0.030,16.6562275,1017.48381151,1.36,0.71,1.42,0.78,59.64,-34.23,-34.6,48.67,225.3
2301.537,47.384+/-0.030,16.8012201,1026.34101662,1.37,0.72,1.72,0.82,59.65,-34.22,-34.6,48.67,225.32
2321.402,47.793+/-0.030,16.9462346,1035.19955954,1.37,0.72,1.72,0.82,59.65,-34.22,-34.6,48.67,225.32
2341.657,48.210+/-0.030,17.0940961,1044.23201798,1.37,0.72,1.68,0.82,59.65,-34.22,-34.6,48.67,225.32
2361.518,48.619+/-0.031,17.2390814,1053.08877715,1.36,0.71,1.54,0.8,59.65,-34.24,-34.59,48.67,225.3
2381.383,49.028+/-0.031,17.3840959,1061.94732007,1.36,0.72,1.42,0.8,59.65,-34.23,-34.6,48.67,225.3
2401.647,49.445+/-0.031,17.5320231,1070.98379194,1.38,0.73,1.75,0.84,59.66,-34.22,-34.61,48.67,225.33
2421.515,49.854+/-0.031,17.6770595,1079.84367267,1.38,0.73,1.76,0.84,59.66,-34.22,-34.61,48.67,225.33
2441.783,50.271+/-0.032,17.8250159,1088.88192829,1.37,0.72,1.39,0.81,59.66,-34.23,-34.6,48.67,225.31
2461.646,50.680+/-0.032,17.9700158,1097.73957933,1.39,0.73,1.81,0.84,59.67,-34.21,-34.61,48.67,225.33
2481.512,51.089+/-0.032,18.1150376,1106.59856819,1.37,0.72,1.46,0.81,59.66,-34.22,-34.6,48.67,225.31
2501.776,51.507+/-0.033,18.2629648,1115.63504006,1.37,0.73,1.56,0.83,59.67,-34.23,-34.6,48.67,225.31
2521.639,51.916+/-0.033,18.4079647,1124.49269111,1.37,0.73,1.5,0.83,59.67,-34.23,-34.6,48.67,225.31
2541.5,52.324+/-0.033,18.55295,1133.34945028,1.38,0.73,1.56,0.83,59.68,-34.22,-34.6,48.67,225.32
2561.766,52.742+/-0.033,18.7008918,1142.38681402,1.37,0.73,1.49,0.82,59.67,-34.23,-34.6,48.67,225.31
2581.625,53.150+/-0.034,18.8458625,1151.24268132,1.39,0.74,1.87,0.86,59.68,-34.21,-34.61,48.67,225.33
2601.489,53.559+/-0.034,18.9908697,1160.1007783,1.39,0.74,1.79,0.86,59.68,-34.21,-34.61,48.67,225.33
2621.75,53.977+/-0.034,19.138775,1169.13591236,1.38,0.73,1.51,0.83,59.68,-34.23,-34.6,48.67,225.31
2641.621,54.386+/-0.034,19.2838333,1177.9971309,1.38,0.73,1.53,0.83,59.68,-34.23,-34.6,48.67,225.31
2661.485,54.795+/-0.035,19.4288405,1186.85522789,1.39,0.74,1.81,0.87,59.69,-34.21,-34.61,48.67,225.33
2681.756,55.212+/-0.035,19.5768188,1195.89482132,1.39,0.74,1.54,0.84,59.69,-34.22,-34.6,48.67,225.32
2701.629,55.621+/-0.035,19.7218917,1204.75693174,1.39,0.74,1.84,0.87,59.69,-34.21,-34.61,48.66,225.33
2721.48,56.030+/-0.035,19.866804,1213.60923153,1.38,0.74,1.58,0.85,59.69,-34.22,-34.6,48.66,225.31
2741.738,56.45+/-0.04,20.0146874,1222.64302778,1.39,0.74,1.8,0.88,59.7,-34.21,-34.61,48.66,225.33
2761.61,56.86+/-0.04,20.159753,1231.50469226,1.38,0.74,1.58,0.86,59.7,-34.22,-34.6,48.67,225.32
2781.47,57.26+/-0.04,20.304731,1240.36100549,1.4,0.75,1.86,0.88,59.7,-34.21,-34.61,48.66,225.34
2801.741,57.68+/-0.04,20.4527093,1249.40059893,1.4,0.75,1.83,0.88,59.7,-34.21,-34.61,48.66,225.33
2821.608,58.09+/-0.04,20.5977384,1258.26003372,1.4,0.75,1.91,0.89,59.71,-34.21,-34.61,48.66,225.33
2841.468,58.50+/-0.04,20.7427164,1267.11634695,1.41,0.76,1.91,0.9,59.71,-34.2,-34.61,48.66,225.34
2861.729,58.92+/-0.04,20.8906217,1276.15148101,1.39,0.74,1.53,0.86,59.71,-34.22,-34.6,48.66,225.32
2881.589,59.33+/-0.04,21.0355997,1285.00779425,1.4,0.75,1.75,0.88,59.71,-34.21,-34.6,48.66,225.33
2901.458,59.74+/-0.04,21.1806434,1293.86812091,1.4,0.75,1.82,0.88,59.71,-34.21,-34.6,48.66,225.33
2921.725,60.15+/-0.04,21.3285925,1302.9059306,1.41,0.76,1.93,0.9,59.72,-34.21,-34.61,48.66,225.34
2941.577,60.56+/-0.04,21.4735121,1311.75867633,1.39,0.75,1.63,0.88,59.71,-34.22,-34.6,48.66,225.32
2961.444,60.97+/-0.04,21.6185412,1320.61811113,1.39,0.75,1.57,0.88,59.72,-34.22,-34.6,48.66,225.32
2981.721,61.39+/-0.04,21.7665633,1329.66038018,1.4,0.75,1.74,0.88,59.72,-34.21,-34.6,48.66,225.33
3001.579,61.80+/-0.04,21.9115267,1338.51580154,1.4,0.75,1.63,0.89,59.72,-34.21,-34.6,48.66,225.32
3021.444,62.21+/-0.04,22.0565412,1347.37434446,1.4,0.75,1.65,0.88,59.72,-34.21,-34.6,48.66,225.32
3041.723,62.62+/-0.04,22.2045779,1356.41750539,1.39,0.75,1.57,0.88,59.72,-34.22,-34.6,48.66,225.32
3061.58,63.03+/-0.04,22.349534,1365.27248081,1.4,0.75,1.63,0.88,59.72,-34.22,-34.6,48.66,225.32
3081.443,63.44+/-0.04,22.4945339,1374.13013186,1.4,0.76,1.69,0.9,59.73,-34.21,-34.6,48.66,225.33
3101.709,63.86+/-0.04,22.6424757,1383.1674956,1.41,0.76,1.76,0.91,59.73,-34.21,-34.6,48.66,225.33
3121.568,64.27+/-0.04,22.7874464,1392.0233629,1.41,0.76,1.94,0.92,59.74,-34.2,-34.61,48.66,225.33
3141.429,64.68+/-0.04,22.9324317,1400.88012207,1.41,0.76,1.81,0.91,59.74,-34.21,-34.6,48.66,225.33
3161.691,65.09+/-0.04,23.0803443,1409.91570207,1.41,0.77,1.78,0.92,59.74,-34.2,-34.61,48.66,225.34
3181.549,65.50+/-0.04,23.2253077,1418.77112342,1.42,0.77,2.07,0.93,59.74,-34.2,-34.61,48.66,225.35
3201.413,65.91+/-0.04,23.3703149,1427.62922041,1.41,0.77,1.85,0.92,59.74,-34.21,-34.6,48.66,225.33
3221.681,66.33+/-0.04,23.5182713,1436.66747603,1.4,0.76,1.69,0.91,59.74,-34.22,-34.6,48.66,225.32
3241.539,66.74+/-0.04,23.6632347,1445.52289739,1.42,0.77,1.99,0.93,59.74,-34.2,-34.61,48.65,225.34
3261.397,67.15+/-0.04,23.8081981,1454.37831874,1.4,0.76,1.71,0.91,59.74,-34.21,-34.59,48.66,225.32
3281.659,67.56+/-0.04,23.9561107,1463.41389874,1.4,0.76,1.72,0.91,59.74,-34.21,-34.59,48.65,225.32
3301.527,67.97+/-0.04,24.1011471,1472.27377947,1.4,0.76,1.71,0.92,59.74,-34.21,-34.6,48.65,225.32
3321.391,68.38+/-0.04,24.2461543,1481.13187645,1.42,0.77,2.01,0.94,59.75,-34.2,-34.6,48.65,225.34
3341.652,68.80+/-0.04,24.3940596,1490.16701051,1.42,0.78,1.94,0.94,59.75,-34.2,-34.61,48.65,225.34
3361.506,69.21+/-0.04,24.5389938,1499.02064812,1.42,0.77,1.96,0.94,59.75,-34.2,-34.6,48.65,225.34
3381.77,69.62+/-0.04,24.686921,1508.05711999,1.4,0.77,1.73,0.92,59.75,-34.21,-34.59,48.65,225.32
3401.638,70.03+/-0.04,24.8319574,1516.91700073,1.42,0.78,1.9,0.95,59.76,-34.2,-34.6,48.65,225.34
3421.507,70.44+/-0.04,24.9770011,1525.77732739,1.42,0.78,1.98,0.95,59.76,-34.2,-34.6,48.65,225.34
3441.768,70.86+/-0.04,25.1249064,1534.81246145,1.41,0.77,1.75,0.93,59.75,-34.21,-34.59,48.65,225.32
3461.626,71.27+/-0.05,25.2698698,1543.66788281,1.42,0.78,2.02,0.96,59.76,-34.2,-34.6,48.65,225.33
3481.492,71.68+/-0.05,25.4148916,1552.52687167,1.41,0.77,1.74,0.93,59.76,-34.21,-34.59,48.65,225.32
3501.753,72.09+/-0.05,25.5627969,1561.56200573,1.42,0.78,1.99,0.95,59.76,-34.2,-34.6,48.65,225.33
3521.619,72.50+/-0.05,25.7078187,1570.42099459,1.42,0.78,1.84,0.94,59.76,-34.2,-34.6,48.65,225.33
3541.482,72.91+/-0.05,25.8528186,1579.27864563,1.42,0.78,2.03,0.96,59.77,-34.2,-34.6,48.65,225.34
3561.742,73.33+/-0.05,26.0007166,1588.31333375,1.42,0.78,2.0,0.95,59.77,-34.2,-34.6,48.65,225.33
3581.61,73.74+/-0.05,26.145753,1597.17321448,1.4,0.77,1.74,0.94,59.76,-34.21,-34.58,48.65,225.31
